vin,ign_on_time,trip_match_key,t,latitude,longitude,ems11_n,ems11_vs,ems12_brake_act,tcu12_cur_gr,ems11_tqi_acor,mdps_sas11_fs_sas_angle,sas_sas11_fs_sas_angle,sas11_fs_sas_speed,esp12_lat_accel,esp12_long_accel,ems12_pv_av_can
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,103,42.18141111,-71.86373888888889,1158.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.2400000000000002,0.03999999999999915,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,104,42.18141111,-71.86373888888889,1143.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.25,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,105,42.18141111,-71.86373888888889,1137.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.25,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,106,42.18141111,-71.86373888888889,1158.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.22000000000000064,0.07000000000000028,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,107,42.18141111,-71.86373888888889,1148.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.25,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,108,42.18141111,-71.86373888888889,1136.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.25,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,109,42.18141111,-71.86373888888889,1151.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.25,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,110,42.18141111,-71.86373888888889,1112.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.2400000000000002,0.049999999999998934,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,111,42.18141111,-71.86373888888889,1134.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.2699999999999996,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,112,42.18141111,-71.86373888888889,1154.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.2599999999999998,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,113,42.18141111,-71.86373888888889,1140.0,0.0,1.0,0.0,8.59375,29.3,29.3,0.0,0.22000000000000064,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,114,42.18141111,-71.86373888888889,1154.0,0.0,1.0,0.0,8.59375,29.3,29.3,0.0,0.27999999999999936,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,115,42.18141111,-71.86373888888889,1145.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.2699999999999996,0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,116,42.18141111,-71.86373888888889,1122.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.25,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,117,42.18141111,-71.86373888888889,1153.0,0.0,1.0,0.0,8.59375,28.5,28.5,8.0,0.22000000000000064,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,118,42.18141111,-71.86373888888889,1131.0,0.0,1.0,0.0,8.59375,27.1,27.1,0.0,0.25,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,119,42.18141111,-71.86373888888889,1117.0,0.0,1.0,0.0,8.984375,27.5,27.5,0.0,0.1999999999999993,0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,120,42.18141111,-71.86373888888889,1148.0,0.0,1.0,0.0,8.59375,27.5,27.5,0.0,0.23000000000000043,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,121,42.18141111,-71.86373888888889,1129.0,0.0,1.0,0.0,8.984375,27.5,27.5,0.0,0.25,-0.009999999999999787,0.0
